MMSI,lng,lat
431601641,131.312,33.85615
431601641,131.312633,33.856067
431601641,131.313717,33.8559
431601641,131.31435,33.855817
431601641,131.314817,33.855767
431601641,131.316067,33.855583
431601641,131.316517,33.855517
431601641,131.31715,33.855433
431601641,131.317783,33.855333
431601641,131.318233,33.855267
431601641,131.318867,33.855183
431601641,131.319433,33.8551
431601641,131.31995,33.855033
431601641,131.320583,33.85495
431601641,131.321217,33.854867
431601641,131.321667,33.8548
431601641,131.3223,33.8547
431601641,131.322867,33.854633
431601641,131.323383,33.85455
431601641,131.32395,33.854467
431601641,131.324633,33.854383
431601641,131.325083,33.8543
431601641,131.325717,33.854217
431601641,131.32635,33.854133
431601641,131.326817,33.854067
431601641,131.327383,33.853983
431601641,131.328017,33.8539
431601641,131.328533,33.853833
431601641,131.329167,33.85375
431601641,131.329733,33.853683
431601641,131.33025,33.8536
431601641,131.330817,33.853517
431601641,131.3315,33.853417
431601641,131.331917,33.853367
431601641,131.3326,33.853267
431601641,131.333167,33.853183
431601641,131.333683,33.853117
431601641,131.334267,33.853033
431601641,131.334883,33.85295
431601641,131.334883,33.85295
431601641,131.335417,33.852867
431601641,131.33605,33.8528
431601641,131.336617,33.8527
431601641,131.337133,33.852633
431601641,131.337717,33.85255
431601641,131.3384,33.85245
431601641,131.3388,33.852383
431601641,131.339483,33.852283
431601641,131.340067,33.852217
431601641,131.340583,33.852133
431601641,131.341167,33.85205
431601641,131.341733,33.851983
431601641,131.34225,33.8519
431601641,131.34295,33.8518
431601641,131.343517,33.851733
431601641,131.3441,33.851633
431601641,131.344617,33.851567
431601641,131.345133,33.8515
431601641,131.3464,33.851317
431601641,131.346967,33.851233
431601641,131.34755,33.851167
431601641,131.348067,33.851083
431601641,131.34865,33.851
431601641,131.349867,33.850833
431601641,131.350433,33.85075
431601641,131.351017,33.850667
431601641,131.351483,33.8506
431601641,131.352117,33.850517
431601641,131.3527,33.85045
431601641,131.353333,33.85035
431601641,131.353983,33.850267
431601641,131.3545,33.8502
431601641,131.355017,33.850117
431601641,131.355717,33.850033
431601641,131.356833,33.849867
431601641,131.357483,33.849783
431601641,131.358,33.8497
431601641,131.358467,33.84965
431601641,131.359217,33.84955
431601641,131.360333,33.8494
431601641,131.360967,33.849317
431601641,131.361433,33.84925
431601641,131.362017,33.849167
431601641,131.362717,33.849083
431601641,131.363833,33.848933
431601641,131.364483,33.84885
431601641,131.365,33.848783
431601641,131.365533,33.8487
431601641,131.366233,33.8486
431601641,131.366767,33.848533
431601641,131.367417,33.84845
431601641,131.368,33.848367
431601641,131.368467,33.848317
431601641,131.369117,33.848233
431601641,131.369767,33.848133
431601641,131.370283,33.848067
431601641,131.37095,33.847983
431601641,131.371467,33.8479
431601641,131.372067,33.847817
431601641,131.37265,33.847717
431601641,131.3733,33.847617
431601641,131.373833,33.847517
431601641,131.374483,33.8474
431601641,131.375017,33.8473
431601641,131.3756,33.8472
431601641,131.376183,33.847083
431601641,131.376817,33.846967
431601641,131.37735,33.846867
431601641,131.377983,33.84675
431601641,131.378517,33.84665
431601641,131.3791,33.84655
431601641,131.379683,33.846433
431601641,131.380333,33.846317
431601641,131.380917,33.8462
431601641,131.381433,33.8461
431601641,131.382017,33.846
431601641,131.3826,33.845883
431601641,131.3832,33.845783
431601641,131.383783,33.845667
431601641,131.384417,33.84555
431601641,131.384883,33.845467
431601641,131.385517,33.845333
431601641,131.3861,33.845217
431601641,131.386683,33.8451
431601641,131.387267,33.844983
431601641,131.3879,33.84485
431601641,131.388433,33.84475
431601641,131.389017,33.84465
431601641,131.3896,33.844517
431601641,131.390183,33.844417
431601641,131.3914,33.84415
431601641,131.391867,33.844067
431601641,131.3925,33.843933
