Course,Speed,lng,lat,MMSI
318,9.6,121.43264,37.64375,412767320
317.8,9.6,121.432293,37.644053,412767320
317.8,9.8,121.43252,37.64385,412767320
317.8,9.6,121.43212,37.644227,412767320
318,9.6,121.43184,37.64446,412767320
318,9.6,121.431613,37.64466,412767320
318.1,9.6,121.431507,37.644753,412767320
318.1,9.6,121.431427,37.644823,412767320
318.1,9.6,121.431213,37.64502,412767320
318.1,9.5,121.431133,37.64509,412767320
318.1,9.6,121.430947,37.645263,412767320
318.3,9.6,121.43076,37.645427,412767320
318.8,9.6,121.4304,37.64576,412767320
319.6,9.6,121.430027,37.646107,412767320
319.8,9.5,121.429653,37.64644,412767320
318.3,9.5,121.42932,37.646737,412767320
316.6,9.5,121.428893,37.64708,412767320
315.6,9.5,121.428507,37.6474,412767320
315.1,9.5,121.42828,37.647597,412767320
314.8,9.5,121.428133,37.647717,412767320
314.3,9.5,121.427787,37.647963,412767320
314.3,9.5,121.427747,37.648033,412767320
314.3,9.5,121.427547,37.64815,412767320
314.1,9.5,121.42732,37.648347,412767320
313.8,9.5,121.427027,37.648557,412767320
314.1,9.5,121.426947,37.648613,412767320
314,9.5,121.42684,37.648707,412767320
314.1,9.5,121.426587,37.6489,412767320
314.1,9.5,121.42636,37.649083,412767320
314.1,9.5,121.42612,37.649273,412767320
314.1,9.5,121.42588,37.649463,412767320
314.3,9.5,121.425693,37.649587,412767320
314.1,9.5,121.4256,37.649643,412767320
314.1,9.6,121.425307,37.64989,412767320
314.1,9.5,121.425427,37.649803,412767320
314.3,9.5,121.42488,37.650203,412767320
314.3,9.5,121.425133,37.650017,412767320
314.3,9.5,121.424547,37.650483,412767320
314.6,9.5,121.424653,37.650393,412767320
314.5,9.5,121.424173,37.650763,412767320
314.5,9.5,121.4244,37.650577,412767320
314.3,9.5,121.424133,37.6508,412767320
314.8,9.5,121.423947,37.65096,412767320
314.6,9.5,121.42328,37.65146,412767320
314.6,9.5,121.42288,37.65178,412767320
314.6,9.5,121.422493,37.65209,412767320
314.6,9.5,121.422133,37.652377,412767320
314.8,9.5,121.421747,37.6527,412767320
314.6,9.5,121.421347,37.653013,412767320
314.6,9.5,121.421067,37.653247,412767320
314.3,9.5,121.42092,37.653337,412767320
314.5,9.5,121.4208,37.653427,412767320
314.3,9.5,121.420613,37.65359,412767320
314.5,9.5,121.42048,37.65368,412767320
314.3,9.5,121.420093,37.654003,412767320
314.8,9.5,121.419733,37.654277,412767320
314.3,9.5,121.419627,37.65434,412767320
314.8,9.5,121.41936,37.654543,412767320
314.6,9.5,121.419133,37.654737,412767320
314.5,9.5,121.418427,37.655297,412767320
314.3,9.5,121.418213,37.655467,412767320
314.6,9.5,121.417987,37.65565,412767320
314.5,9.5,121.417693,37.655867,412767320
314.6,9.5,121.417467,37.656063,412767320
314.6,9.5,121.417253,37.65621,412767320
314.6,9.5,121.417027,37.6564,412767320
314.6,9.5,121.416733,37.656617,412767320
