lng,lat,MMSI
121.453333,37.583333,412020540
121.4538,37.584483,412020540
121.453813,37.58457,412020540
121.453813,37.584623,412020540
121.453813,37.58469,412020540
121.453813,37.58476,412020540
121.4538,37.58488,412020540
121.453773,37.58497,412020540
121.45376,37.585073,412020540
121.453733,37.585173,412020540
121.45372,37.58527,412020540
121.45368,37.58538,412020540
121.453653,37.58549,412020540
121.453613,37.5856,412020540
121.4536,37.585683,412020540
121.453587,37.585757,412020540
121.453547,37.585837,412020540
121.453533,37.585953,412020540
121.45352,37.586027,412020540
121.45348,37.586113,412020540
121.453467,37.5862,412020540
121.453453,37.586283,412020540
121.45344,37.586393,412020540
121.45344,37.586483,412020540
121.453427,37.586573,412020540
121.4534,37.586643,412020540
121.453387,37.586817,412020540
121.453373,37.586937,412020540
121.453373,37.587067,412020540
121.453373,37.587157,412020540
121.453373,37.587223,412020540
121.453373,37.58731,412020540
121.453373,37.587373,412020540
121.453373,37.58746,412020540
121.453373,37.58755,412020540
121.453387,37.58762,412020540
121.453387,37.587683,412020540
121.453387,37.587767,412020540
121.453387,37.587833,412020540
121.4534,37.587917,412020540
121.453427,37.588,412020540
121.45344,37.58808,412020540
121.453453,37.588143,412020540
121.453467,37.58823,412020540
121.45348,37.588287,412020540
121.453507,37.588367,412020540
121.45352,37.58844,412020540
121.453547,37.588523,412020540
121.453547,37.58859,412020540
121.453587,37.58867,412020540
121.453587,37.588737,412020540
121.4536,37.588807,412020540
121.453613,37.58889,412020540
121.453627,37.58895,412020540
121.453653,37.589013,412020540
121.453667,37.58908,412020540
121.45368,37.58915,412020540
121.453693,37.589203,412020540
121.453693,37.589267,412020540
121.45372,37.589327,412020540
121.45372,37.58938,412020540
121.453733,37.58945,412020540
121.453747,37.589523,412020540
121.45376,37.5896,412020540
121.453773,37.589677,412020540
121.4538,37.589757,412020540
121.4538,37.589833,412020540
121.453827,37.589887,412020540
121.45384,37.589963,412020540
121.453867,37.590033,412020540
121.453893,37.590107,412020540
121.45392,37.59017,412020540
121.453907,37.590127,412020540
121.45396,37.590247,412020540
121.453987,37.590303,412020540
121.45404,37.590373,412020540
121.454093,37.59043,412020540
121.45416,37.590497,412020540
121.454213,37.590553,412020540
121.454267,37.59058,412020540
121.45432,37.590623,412020540
121.4544,37.59066,412020540
121.454467,37.5907,412020540
121.454547,37.59072,412020540
121.454627,37.590753,412020540
121.45468,37.59076,412020540
